20100101,1/1/2010,1,1,1,2010
20100102,2/1/2010,2,1,1,2010
20100103,3/1/2010,3,1,1,2010
20100104,4/1/2010,4,1,1,2010
20100105,5/1/2010,5,1,1,2010
20100201,1/2/2010,1,2,1,2010
20100202,2/2/2010,2,2,1,2010
20100203,3/2/2010,3,2,1,2010
20100204,4/2/2010,4,2,1,2010
20100205,5/2/2010,5,2,1,2010
20100206,6/2/2010,6,2,1,2010
20100207,7/2/2010,7,2,1,2010
20100208,8/2/2010,8,2,1,2010
20100209,9/2/2010,9,2,1,2010
20100210,10/2/2010,10,2,1,2010
20100211,11/2/2010,11,2,1,2010
20100212,12/2/2010,12,2,1,2010
20100301,1/3/2010,1,3,1,2010
20100302,2/3/2010,2,3,1,2010
20100303,3/3/2010,3,3,1,2010
20100304,4/3/2010,4,3,1,2010
20100305,5/3/2010,5,3,1,2010
20100306,6/3/2010,6,3,1,2010
20100307,7/3/2010,7,3,1,2010
20100308,8/3/2010,8,3,1,2010
20100309,9/3/2010,9,3,1,2010
20100310,10/3/2010,10,3,1,2010
20100311,11/3/2010,11,3,1,2010
20100312,12/3/2010,12,3,1,2010
20100401,1/4/2010,1,4,2,2010
20100402,2/4/2010,2,4,2,2010
20100403,3/4/2010,3,4,2,2010
20100404,4/4/2010,4,4,2,2010
20100405,5/4/2010,5,4,2,2010
20100406,6/4/2010,6,4,2,2010
20100407,7/4/2010,7,4,2,2010
20100408,8/4/2010,8,4,2,2010
20100409,9/4/2010,9,4,2,2010
20100410,10/4/2010,10,4,2,2010
20100411,11/4/2010,11,4,2,2010
20100412,12/4/2010,12,4,2,2010
20100501,1/5/2010,1,5,2,2010
20100502,2/5/2010,2,5,2,2010
20100503,3/5/2010,3,5,2,2010
20100504,4/5/2010,4,5,2,2010
20100505,5/5/2010,5,5,2,2010
20100506,6/5/2010,6,5,2,2010
20100507,7/5/2010,7,5,2,2010
20100508,8/5/2010,8,5,2,2010
20100509,9/5/2010,9,5,2,2010
20100510,10/5/2010,10,5,2,2010
20100511,11/5/2010,11,5,2,2010
20100512,12/5/2010,12,5,2,2010
20100601,1/6/2010,1,6,2,2010
20100602,2/6/2010,2,6,2,2010
20100603,3/6/2010,3,6,2,2010
20100604,4/6/2010,4,6,2,2010
20100605,5/6/2010,5,6,2,2010
20100606,6/6/2010,6,6,2,2010
20100607,7/6/2010,7,6,2,2010
20100608,8/6/2010,8,6,2,2010
20100609,9/6/2010,9,6,2,2010
20100610,10/6/2010,10,6,2,2010
20100611,11/6/2010,11,6,2,2010
20100612,12/6/2010,12,6,2,2010
20100701,1/7/2010,1,7,3,2010
20100702,2/7/2010,2,7,3,2010
20100703,3/7/2010,3,7,3,2010
20100704,4/7/2010,4,7,3,2010
20100705,5/7/2010,5,7,3,2010
20100706,6/7/2010,6,7,3,2010
20100707,7/7/2010,7,7,3,2010
20100708,8/7/2010,8,7,3,2010
20100709,9/7/2010,9,7,3,2010
20100710,10/7/2010,10,7,3,2010
20100711,11/7/2010,11,7,3,2010
20100712,12/7/2010,12,7,3,2010
20101101,1/11/2010,1,11,4,2010
20101102,2/11/2010,2,11,4,2010
20101103,3/11/2010,3,11,4,2010
20101104,4/11/2010,4,11,4,2010
20101105,5/11/2010,5,11,4,2010
20101106,6/11/2010,6,11,4,2010
20101107,7/11/2010,7,11,4,2010
20101108,8/11/2010,8,11,4,2010
20101109,9/11/2010,9,11,4,2010
20101110,10/11/2010,10,11,4,2010
20101111,11/11/2010,11,11,4,2010
20101112,12/11/2010,12,11,4,2010
20101201,1/12/2010,1,12,4,2010
20101202,2/12/2010,2,12,4,2010
20101203,3/12/2010,3,12,4,2010
20101204,4/12/2010,4,12,4,2010
20101205,5/12/2010,5,12,4,2010
20101206,6/12/2010,6,12,4,2010
20101207,7/12/2010,7,12,4,2010
20101208,8/12/2010,8,12,4,2010
20101209,9/12/2010,9,12,4,2010
20101210,10/12/2010,10,12,4,2010
20101211,11/12/2010,11,12,4,2010
20101212,12/12/2010,12,12,4,2010
20101213,13/12/2010,13,12,4,2010
20101214,14/12/2010,14,12,4,2010
20101215,15/12/2010,15,12,4,2010
20101216,16/12/2010,16,12,4,2010
20101217,17/12/2010,17,12,4,2010
20101218,18/12/2010,18,12,4,2010
20101219,19/12/2010,19,12,4,2010
20101220,20/12/2010,20,12,4,2010
20101221,21/12/2010,21,12,4,2010
20101222,22/12/2010,22,12,4,2010
20101223,23/12/2010,23,12,4,2010
20101224,24/12/2010,24,12,4,2010
20101225,25/12/2010,25,12,4,2010
20101226,26/12/2010,26,12,4,2010
20101227,27/12/2010,27,12,4,2010
20101228,28/12/2010,28,12,4,2010
20101229,29/12/2010,29,12,4,2010
20101230,30/12/2010,30,12,4,2010
20101231,31/12/2010,31,12,4,2010
