101,1,Atlanta,Fulton County,Georgia,United States
102,1,Atlanta,Fulton County,Georgia,United States
103,1,Atlanta,Fulton County,Georgia,United States
104,1,Atlanta,Fulton County,Georgia,United States
105,1,Atlanta,Fulton County,Georgia,United States
106,1,Atlanta,Fulton County,Georgia,United States
107,1,Atlanta,Fulton County,Georgia,United States
108,1,Atlanta,Fulton County,Georgia,United States
109,1,Atlanta,Fulton County,Georgia,United States
110,1,Atlanta,Fulton County,Georgia,United States
111,1,Atlanta,Fulton County,Georgia,United States
112,1,Atlanta,Fulton County,Georgia,United States
113,1,Atlanta,Fulton County,Georgia,United States
114,1,Atlanta,Fulton County,Georgia,United States
201,2,Atlanta,Fulton County,Georgia,United States
202,2,Atlanta,Fulton County,Georgia,United States
203,2,Atlanta,Fulton County,Georgia,United States
204,2,Atlanta,Fulton County,Georgia,United States
205,2,Atlanta,Fulton County,Georgia,United States
206,2,Atlanta,Fulton County,Georgia,United States
207,2,Atlanta,Fulton County,Georgia,United States
208,2,Atlanta,Fulton County,Georgia,United States
209,2,Atlanta,Fulton County,Georgia,United States
210,2,Atlanta,Fulton County,Georgia,United States
211,2,Atlanta,Fulton County,Georgia,United States
212,2,Atlanta,Fulton County,Georgia,United States
213,2,Atlanta,Fulton County,Georgia,United States
301,3,Atlanta,Fulton County,Georgia,United States
302,3,Atlanta,Fulton County,Georgia,United States
303,3,Atlanta,Fulton County,Georgia,United States
304,3,Atlanta,Fulton County,Georgia,United States
305,3,Atlanta,Fulton County,Georgia,United States
306,3,Atlanta,Fulton County,Georgia,United States
306,3,Atlanta,Fulton County,Georgia,United States
307,3,Atlanta,Fulton County,Georgia,United States
308,3,Atlanta,Fulton County,Georgia,United States
309,3,Atlanta,Fulton County,Georgia,United States
310,3,Atlanta,Fulton County,Georgia,United States
311,3,Atlanta,Fulton County,Georgia,United States
311,3,Atlanta,Fulton County,Georgia,United States
312,3,Atlanta,Fulton County,Georgia,United States
313,3,Atlanta,Fulton County,Georgia,United States
401,4,Atlanta,Fulton County,Georgia,United States
402,4,Atlanta,Fulton County,Georgia,United States
403,4,Atlanta,Fulton County,Georgia,United States
404,4,Atlanta,Fulton County,Georgia,United States
405,4,Atlanta,Fulton County,Georgia,United States
406,4,Atlanta,Fulton County,Georgia,United States
407,4,Atlanta,Fulton County,Georgia,United States
408,4,Atlanta,Fulton County,Georgia,United States
409,4,Atlanta,Fulton County,Georgia,United States
410,4,Atlanta,Fulton County,Georgia,United States
411,4,Atlanta,Fulton County,Georgia,United States
411,4,Atlanta,Fulton County,Georgia,United States
412,4,Atlanta,Fulton County,Georgia,United States
413,4,Atlanta,Fulton County,Georgia,United States
414,4,Atlanta,Fulton County,Georgia,United States
414,4,Atlanta,Fulton County,Georgia,United States
501,5,Atlanta,Fulton County,Georgia,United States
502,5,Atlanta,Fulton County,Georgia,United States
503,5,Atlanta,Fulton County,Georgia,United States
504,5,Atlanta,Fulton County,Georgia,United States
505,5,Atlanta,Fulton County,Georgia,United States
506,5,Atlanta,Fulton County,Georgia,United States
507,5,Atlanta,Fulton County,Georgia,United States
508,5,Atlanta,Fulton County,Georgia,United States
509,5,Atlanta,Fulton County,Georgia,United States
510,5,Atlanta,Fulton County,Georgia,United States
511,5,Atlanta,Fulton County,Georgia,United States
512,5,Atlanta,Fulton County,Georgia,United States
601,6,Atlanta,Fulton County,Georgia,United States
602,6,Atlanta,Fulton County,Georgia,United States
603,6,Atlanta,Fulton County,Georgia,United States
604,6,Atlanta,Fulton County,Georgia,United States
605,6,Atlanta,Fulton County,Georgia,United States
606,6,Atlanta,Fulton County,Georgia,United States
607,6,Atlanta,Fulton County,Georgia,United States
608,6,Atlanta,Fulton County,Georgia,United States
609,6,Atlanta,Fulton County,Georgia,United States
612,6,Atlanta,Fulton County,Georgia,United States
705,7,Atlanta,Fulton County,Georgia,United States
707,7,Atlanta,Fulton County,Georgia,United States
